SourceField,TargetField,DataType
DV360 Media Fee 4 (USD),dv360_media_fee_4_usd,INT64
DV360 Media Fee 4 (Partner Currency),dv360_media_fee_4_partner_currency,INT64
DV360 Media Fee 4 (Advertiser Currency),dv360_media_fee_4_advertiser_currency,INT64
DV360 Media Fee 5 (USD),dv360_media_fee_5_usd,INT64
DV360 Media Fee 5 (Partner Currency),dv360_media_fee_5_partner_currency,INT64
DV360 Media Fee 5 (Advertiser Currency),dv360_media_fee_5_advertiser_currency,INT64
DV360 Data Fees (USD),dv360_data_fees_usd,INT64
DV360 Data Fees (Partner Currency),dv360_data_fees_partner_currency,INT64
DV360 Data Fees (Advertiser Currency),dv360_data_fees_advertiser_currency,INT64
DV360 Billable Cost (USD),dv360_billable_cost_usd,INT64
DV360 Billable Cost (Partner Currency),dv360_billable_cost_partner_currency,INT64
DV360 Billable Cost (Advertiser Currency),dv360_billable_cost_advertiser_currency,INT64
